id,name_en,name_ar,category,subcategory,neighborhood,address_hint,age_min,age_max,price_tier,price_note,indoor_outdoor,ac,stroller,prayer_room,halal,parking,booking,website,instagram,phone_pattern,blurb_en,blurb_ar,honest_note,status,editorial_priority,featured_candidate,source_note
izu-pearl,Izu Pearl,قيد المراجعة,restaurant-family,brunch,The Pearl,The Pearl,0,0,mid,Mid; main ~QAR 50–90,indoor,Y,Y,Y,Y,Y,online,,,,Restaurant with kid menu / family-friendly layout — candidate listing pending editor visit.,قيد المراجعة,Confirm high-chair availability and allergen handling before booking.,placeholder,3,N,editorial seed — verify before publish
kebab-queens-west-bay,Kebab Queens,قيد المراجعة,restaurant-family,kebabs,West Bay,West Bay,0,0,mid,Mid; main ~QAR 50–90,indoor,Y,Y,Y,Y,Y,online,,,,Restaurant with kid menu / family-friendly layout — candidate listing pending editor visit.,قيد المراجعة,Confirm high-chair availability and allergen handling before booking.,placeholder,3,N,editorial seed — verify before publish
shakespeare-and-co-lusail,Shakespeare & Co.,قيد المراجعة,restaurant-family,café,Lusail,Lusail,0,0,mid,Mid; main ~QAR 50–90,indoor,Y,Y,Y,Y,Y,online,,,,Restaurant with kid menu / family-friendly layout — candidate listing pending editor visit.,قيد المراجعة,Confirm high-chair availability and allergen handling before booking.,placeholder,3,N,editorial seed — verify before publish
burger-boutique-doha-fc,Burger Boutique,قيد المراجعة,restaurant-family,burgers,Umm Salal,Umm Salal,0,0,mid,Mid; main ~QAR 50–90,indoor,Y,Y,Y,Y,Y,online,,,,Restaurant with kid menu / family-friendly layout — candidate listing pending editor visit.,قيد المراجعة,Confirm high-chair availability and allergen handling before booking.,placeholder,3,N,editorial seed — verify before publish
emmawash-traditional-restaurant,Emmawash Traditional Restaurant,قيد المراجعة,restaurant-family,Khaleeji,Old Airport,Old Airport,0,0,mid,Mid; main ~QAR 50–90,indoor,Y,Y,Y,Y,Y,online,,,,Restaurant with kid menu / family-friendly layout — candidate listing pending editor visit.,قيد المراجعة,Confirm high-chair availability and allergen handling before booking.,placeholder,3,N,editorial seed — verify before publish
brew-and-biscuit-pearl,Brew & Biscuit,قيد المراجعة,restaurant-family,café with kids area,The Pearl,The Pearl,0,0,mid,Mid; main ~QAR 50–90,indoor,Y,Y,Y,Y,Y,online,,,,Restaurant with kid menu / family-friendly layout — candidate listing pending editor visit.,قيد المراجعة,Confirm high-chair availability and allergen handling before booking.,placeholder,3,N,editorial seed — verify before publish
swim-doha-pool-1,Hamad Aquatic Centre (Public Swim),قيد المراجعة,swim,public swimming,Aspire,Aspire,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
swim-doha-pool-2,Khalifa Aquatic Complex (Public Session),قيد المراجعة,swim,public swimming,Aspire,Aspire,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
swim-school-rayyan,Rayyan Swim School,قيد المراجعة,swim,lessons,Al Rayyan,Al Rayyan,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
swim-school-duhail,Duhail Swim School,قيد المراجعة,swim,lessons,Duhail,Duhail,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
swim-coach-pearl,Private Swim Coaching Pearl,قيد المراجعة,swim,private lessons,The Pearl,The Pearl,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
swim-coach-lusail,Private Swim Coaching Lusail,قيد المراجعة,swim,private lessons,Lusail,Lusail,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
water-world-qa,Water World Doha,قيد المراجعة,swim,water park,Al Rayyan,Al Rayyan,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
desert-falls-resort,Desert Falls Water Park,قيد المراجعة,swim,water park,Al Rayyan,Al Rayyan,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
maltese-cross-swim,Maltese Cross Swim,قيد المراجعة,swim,lessons,Al Sadd,Al Sadd,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
aqua-pearl-qa,AquaPearl,قيد المراجعة,swim,lessons & squad,The Pearl,The Pearl,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
tiny-fish-swim,Tiny Fish Baby Swim,قيد المراجعة,swim,baby swim,Al Dafna,Al Dafna,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
mermaid-school-doha,Mermaid School Doha,قيد المراجعة,swim,novelty swim,The Pearl,The Pearl,6,168,mid,Per-session or term; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim programme / pool — candidate listing pending editor visit.,قيد المراجعة,"Confirm lesson ratio, change room setup and lifeguard cover.",placeholder,3,N,editorial seed — verify before publish
education-city-mosque,Education City Mosque,قيد المراجعة,museum,cultural,Education City,Education City,60,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Free indoor cultural / heritage space — verify kids’ programming.,قيد المراجعة,Some cultural sites expect quiet; brief younger kids before arrival.,verifying,3,N,editorial seed — verify before publish
msheireb-tram-ride,Msheireb Tram (free ride),قيد المراجعة,museum,activity,Msheireb,Downtown Doha,60,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Free indoor cultural / heritage space — verify kids’ programming.,قيد المراجعة,Some cultural sites expect quiet; brief younger kids before arrival.,verifying,3,N,editorial seed — verify before publish
qf-innovation-center-kids,QF Innovation Center Kids,قيد المراجعة,museum,exhibition,Education City,Education City,60,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Free indoor cultural / heritage space — verify kids’ programming.,قيد المراجعة,Some cultural sites expect quiet; brief younger kids before arrival.,verifying,3,N,editorial seed — verify before publish
al-riwaq-gallery,Al Riwaq Gallery,قيد المراجعة,library,art gallery,Corniche,MIA Park side,60,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Free indoor cultural / heritage space — verify kids’ programming.,قيد المراجعة,Some cultural sites expect quiet; brief younger kids before arrival.,verifying,3,N,editorial seed — verify before publish
fire-station-gallery,Fire Station Gallery,قيد المراجعة,library,art gallery,Msheireb,Fire Station,60,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Free indoor cultural / heritage space — verify kids’ programming.,قيد المراجعة,Some cultural sites expect quiet; brief younger kids before arrival.,verifying,3,N,editorial seed — verify before publish
building-21-gallery,Building 21 (Katara),قيد المراجعة,library,art gallery,Katara,Katara,60,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Free indoor cultural / heritage space — verify kids’ programming.,قيد المراجعة,Some cultural sites expect quiet; brief younger kids before arrival.,verifying,3,N,editorial seed — verify before publish
doha-fort,Doha Fort,قيد المراجعة,museum,heritage,Corniche,Near Souq Waqif,60,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Free indoor cultural / heritage space — verify kids’ programming.,قيد المراجعة,Some cultural sites expect quiet; brief younger kids before arrival.,verifying,3,N,editorial seed — verify before publish
al-zubarah-fort,Al Zubarah Fort,قيد المراجعة,museum,heritage,Al Khor,Northwest Qatar,60,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Free indoor cultural / heritage space — verify kids’ programming.,قيد المراجعة,Some cultural sites expect quiet; brief younger kids before arrival.,verifying,3,N,editorial seed — verify before publish
qatar-summer-festival,Qatar Summer Festival,قيد المراجعة,seasonal,seasonal festival,Corniche,June–August,0,0,free,Free to low; varies by event,mixed,partial,Y,Y,Y,Y,walk-in,,,,Seasonal festival — refresh dates annually before promoting.,قيد المراجعة,Crowds peak at sunset; arrive early with small kids.,verifying,2,N,editorial seed — verify before publish
shop-qatar-festival,Shop Qatar Festival,قيد المراجعة,seasonal,retail + events,Multiple malls,January,0,0,free,Free to low; varies by event,mixed,partial,Y,Y,Y,Y,walk-in,,,,Retail + events — refresh dates annually before promoting.,قيد المراجعة,Crowds peak at sunset; arrive early with small kids.,verifying,2,N,editorial seed — verify before publish
ajyal-film-festival-kids,Ajyal Film Festival (Kids track),قيد المراجعة,seasonal,film festival,Katara,November,0,0,free,Free to low; varies by event,mixed,partial,Y,Y,Y,Y,walk-in,,,,Film festival — refresh dates annually before promoting.,قيد المراجعة,Crowds peak at sunset; arrive early with small kids.,verifying,2,N,editorial seed — verify before publish
darb-al-saai,Darb Al Saai National Day,قيد المراجعة,seasonal,National Day,Umm Salal,December,0,0,free,Free to low; varies by event,mixed,partial,Y,Y,Y,Y,walk-in,,,,National day — refresh dates annually before promoting.,قيد المراجعة,Crowds peak at sunset; arrive early with small kids.,verifying,2,N,editorial seed — verify before publish
geekdom-qatar,Geekdom Qatar,قيد المراجعة,seasonal,pop culture expo,DECC,Winter,0,0,free,Free to low; varies by event,mixed,partial,Y,Y,Y,Y,walk-in,,,,Pop culture expo — refresh dates annually before promoting.,قيد المراجعة,Crowds peak at sunset; arrive early with small kids.,verifying,2,N,editorial seed — verify before publish
ramadan-souq-pop-ups,Ramadan Souq Pop-ups,قيد المراجعة,seasonal,seasonal market,Various,Ramadan,0,0,free,Free to low; varies by event,mixed,partial,Y,Y,Y,Y,walk-in,,,,Seasonal market — refresh dates annually before promoting.,قيد المراجعة,Crowds peak at sunset; arrive early with small kids.,verifying,2,N,editorial seed — verify before publish
eid-funfair,Eid Funfair (Al Bidda),قيد المراجعة,seasonal,seasonal fair,Corniche,Eid Al Fitr + Eid Al Adha,0,0,free,Free to low; varies by event,mixed,partial,Y,Y,Y,Y,walk-in,,,,Seasonal fair — refresh dates annually before promoting.,قيد المراجعة,Crowds peak at sunset; arrive early with small kids.,verifying,2,N,editorial seed — verify before publish
national-sport-day,National Sport Day,قيد المراجعة,seasonal,seasonal,Multiple,Second Tuesday of February,0,0,free,Free to low; varies by event,mixed,partial,Y,Y,Y,Y,walk-in,,,,Seasonal — refresh dates annually before promoting.,قيد المراجعة,Crowds peak at sunset; arrive early with small kids.,verifying,2,N,editorial seed — verify before publish
pocket-park-185,Neighbourhood Pocket Park #185,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-186,Neighbourhood Pocket Park #186,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-187,Neighbourhood Pocket Park #187,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-188,Neighbourhood Pocket Park #188,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-189,Neighbourhood Pocket Park #189,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-190,Neighbourhood Pocket Park #190,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-191,Neighbourhood Pocket Park #191,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-192,Neighbourhood Pocket Park #192,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-193,Neighbourhood Pocket Park #193,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-194,Neighbourhood Pocket Park #194,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-195,Neighbourhood Pocket Park #195,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-196,Neighbourhood Pocket Park #196,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-197,Neighbourhood Pocket Park #197,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-198,Neighbourhood Pocket Park #198,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-199,Neighbourhood Pocket Park #199,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
pocket-park-200,Neighbourhood Pocket Park #200,قيد المراجعة,park,pocket park,various,confirming,0,0,free,Free,outdoor,N,Y,unknown,N,Y,walk-in,,,,Placeholder for a local neighbourhood park — editor to fill with real listing from the Ministry of Municipality roster.,قيد المراجعة,Confirm facilities before publish.,placeholder,3,N,editorial seed — verify before publish
